word,text
plĕnh,plĕnh
a mâr,a mâr
mĕt 'nar,mĕt 'nar
mĕt khĕi,mĕt khĕi
khĕi pơ 'nir,khĕi pơ 'nir
khĕi đĭ,khĕi đĭ
Chơ hnglŏng,Chơ hnglŏng
Chơ hnglŏng tơ nong kơ 'năng,Chơ hnglŏng tơ nong kơ 'năng
Chơ hnglŏng tơ nong xruô̆i,Chơ hnglŏng tơ nong xruô̆i
kyar,kyar
'mi,'mi
'mi raih,'mi raih
'mi pru,'mi pru
'mi priêl,'mi priêl
priêl,priêl
kơmlat,kơmlat
plĕnh chơ ro,plĕnh chơ ro
tũk,tũk
đak,đak
krong,krong
jih brong,jih brong
chơ điêng,chơ điêng
kơ long đak,kơ long đak
ving đak,ving đak
'bău,'bău
tơ xĭ,tơ xĭ
chơ điêng đak,chơ điêng đak
tơ kơi đak,tơ kơi đak
tĕh,tĕh
jơrâm xil,jơrâm xil
tĕh gôh,tĕh gôh
tĕh man,tĕh man
tơ 'mo,tơ 'mo
tơ 'mo ŭnh,tơ 'mo ŭnh
chuôih,chuôih
trôk,trôk
a bông a bŭi,a bông a bŭi
bơyang,bơyang
maih,maih
hu,hu
pơxĕi,pơxĕi
kông,kông
tôuch kông,tôuch kông
jâng kông,jâng kông
groi,groi
groi lĕng,groi lĕng
bri,bri
a bong,a bong
tơ 'măn,tơ 'măn
bar ruông,bar ruông
mir,mir
'năr,'năr
kơ 'măng,kơ 'măng
pơ ghê,pơ ghê
'năr dư̆ng,'năr dư̆ng
gŏh kơ xơ̆,gŏh kơ xơ̆
găh kơ 'măng,găh kơ 'măng
xơ ruôih,xơ ruôih
anong măng,anong măng
chơ dah pơ ghê,chơ dah pơ ghê
'năr lĕch,'năr lĕch
xơ hnăm,xơ hnăm
jan,jan
jan 'mi,jan 'mi
jan phang,jan phang
jan ning nơng,jan ning nơng
jan tŏ phang,jan tŏ phang
jan lơngưp,jan lơngưp
jan chơ hong hĕo,jan chơ hong hĕo
khĕi,khĕi
khĕi mĭnh,khĕi mĭnh
khĕi 'bar,khĕi 'bar
khĕi pêng,khĕi pêng
khĕi puôn,khĕi puôn
khĕi đăm,khĕi đăm
